"","ID","item_id","item","sequence","n_DD_event","dd_event_sequence","source","target","n_DD_event_new","dd_event_sequence_new","source_new","target_new","clnddseq","clnddseq_len","Condition","D_D_TotalTimeSpent","TotalTimeSpentonItem","ItemResponse","ItemFinalScore","n_Condition","single_Condition","source1","source2","source3","source4","source5","target1","target2","target3","target4","target5","source_ascending","source_descending","target_ascending","target_descending","nunique_target","nunique_source","source_focus","target_focus","source_partial_ascending","source_partial_descending","source_partial_focus","target_partial_ascending","target_partial_descending","target_partial_focus","strategy","ItemFinalScoreBinary","new_strategy","pretest_final_score_total","itemtime"
"30806","A2MUIT2O917CH","7c","7","start_s1;s1_t1;start_s2;s2_t3;start_s4;s4_t2;start_s5;s5_t3;start_s3;s3_t1",5,"source1_to_target1;source2_to_target3;source4_to_target2;source5_to_target3;source3_to_target1","source1;source2;source4;source5;source3","target1;target3;target2;target3;target1",5,"s1_t1;s2_t3;s4_t2;s5_t3;s3_t1","s1;s2;s4;s5;s3","t1;t3;t2;t3;t1","s1_t1;s2_t3;s4_t2;s5_t3;s3_t1",5,"Targets First",279.01749,12.18526,"{""target1"":[{""id"":""source1"",""sub"":""1""},{""id"":""source3"",""sub"":""2""}],""target2"":[{""id"":""source4"",""sub"":""1""}],""target3"":[{""id"":""source2"",""sub"":""1""},{""id"":""source5"",""sub"":""2""}]}",2,1,1,1,2,4,5,3,1,3,2,3,1,FALSE,FALSE,FALSE,FALSE,3,5,0,0,FALSE,FALSE,0,FALSE,FALSE,0,"Mixed Approach",1,"Other",10,12.621
"30819","A2MUIT2O917CH","8c","8","start_s1;s1_t2;start_s2;s2_t3;start_s3;s3_t1;start_s4;s4_t3;start_s5;s5_t1",5,"source1_to_target2;source2_to_target3;source3_to_target1;source4_to_target3;source5_to_target1","source1;source2;source3;source4;source5","target2;target3;target1;target3;target1",5,"s1_t2;s2_t3;s3_t1;s4_t3;s5_t1","s1;s2;s3;s4;s5","t2;t3;t1;t3;t1","s1_t2;s2_t3;s3_t1;s4_t3;s5_t1",5,"Targets First",279.01749,20.66062,"{""target1"":[{""id"":""source3"",""sub"":""1""},{""id"":""source5"",""sub"":""2""}],""target2"":[{""id"":""source1"",""sub"":""1""}],""target3"":[{""id"":""source2"",""sub"":""1""},{""id"":""source4"",""sub"":""2""}]}",2,1,1,1,2,3,4,5,2,3,1,3,1,TRUE,FALSE,FALSE,FALSE,3,5,1,0,FALSE,FALSE,0,FALSE,FALSE,0,"Source Focus",1,"Source Focus",10,21.47
"30832","A2MUIT2O917CH","9c","9","start_s1;s1_t3;start_s2;s2_t2;start_s3;s3_t1;start_s4;s4_t1;start_s5;s5_t3",5,"source1_to_target3;source2_to_target2;source3_to_target1;source4_to_target1;source5_to_target3","source1;source2;source3;source4;source5","target3;target2;target1;target1;target3",5,"s1_t3;s2_t2;s3_t1;s4_t1;s5_t3","s1;s2;s3;s4;s5","t3;t2;t1;t1;t3","s1_t3;s2_t2;s3_t1;s4_t1;s5_t3",5,"Targets First",279.01749,13.29807,"{""target1"":[{""id"":""source3"",""sub"":""1""},{""id"":""source4"",""sub"":""2""}],""target2"":[{""id"":""source2"",""sub"":""1""}],""target3"":[{""id"":""source1"",""sub"":""1""},{""id"":""source5"",""sub"":""2""}]}",2,1,1,1,2,3,4,5,3,2,1,1,3,TRUE,FALSE,FALSE,FALSE,3,5,1,0,FALSE,FALSE,0,FALSE,FALSE,0,"Source Focus",1,"Source Focus",10,13.866
"30845","A2N9HBI4W44HM","10a","10","start_s2;s2_t1;start_s4;s4_t2;start_s5;s5_t1;start_s1;s1_t3;start_s3;return_s3;start_s3;s3_t3",5,"source2_to_target1;source4_to_target2;source5_to_target1;source1_to_target3;source3_to_target3","source2;source4;source5;source1;source3","target1;target2;target1;target3;target3",5,"s2_t1;s4_t2;s5_t1;s1_t3;s3_t3","s2;s4;s5;s1;s3","t1;t2;t1;t3;t3","s2_t1;s4_t2;s5_t1;s1_t3;s3_t3",5,"Control",304.75654,41.29388,"{""target1"":[{""id"":""source2"",""sub"":""1""},{""id"":""source5"",""sub"":""2""}],""target2"":[{""id"":""source4"",""sub"":""1""}],""target3"":[{""id"":""source1"",""sub"":""1""},{""id"":""source3"",""sub"":""2""}]}",2,1,1,2,4,5,1,3,1,2,1,3,3,FALSE,FALSE,FALSE,FALSE,3,5,0,0,FALSE,FALSE,0,FALSE,FALSE,0,"Mixed Approach",1,"Other",5,41.181
"30860","A2N9HBI4W44HM","1a","1","start_s2;s2_t1;start_s3;s3_t1;start_s5;s5_t2;start_s1;s1_t3;start_s4;s4_t3",5,"source2_to_target1;source3_to_target1;source5_to_target2;source1_to_target3;source4_to_target3","source2;source3;source5;source1;source4","target1;target1;target2;target3;target3",5,"s2_t1;s3_t1;s5_t2;s1_t3;s4_t3","s2;s3;s5;s1;s4","t1;t1;t2;t3;t3","s2_t1;s3_t1;s5_t2;s1_t3;s4_t3",5,"Control",304.75654,14.64576,"{""target1"":[{""id"":""source2"",""sub"":""1""},{""id"":""source3"",""sub"":""2""}],""target2"":[{""id"":""source5"",""sub"":""1""}],""target3"":[{""id"":""source1"",""sub"":""1""},{""id"":""source4"",""sub"":""2""}]}",2,1,1,2,3,5,1,4,1,1,2,3,3,FALSE,FALSE,TRUE,FALSE,3,5,0,1,FALSE,FALSE,0,FALSE,FALSE,0,"Target Focus",1,"Target Focus",5,13.682
"30873","A2N9HBI4W44HM","2a","2","start_s3;s3_t1;start_s4;s4_t1;start_s5;s5_t3;start_s1;s1_t3;start_s2;s2_t2",5,"source3_to_target1;source4_to_target1;source5_to_target3;source1_to_target3;source2_to_target2","source3;source4;source5;source1;source2","target1;target1;target3;target3;target2",5,"s3_t1;s4_t1;s5_t3;s1_t3;s2_t2","s3;s4;s5;s1;s2","t1;t1;t3;t3;t2","s3_t1;s4_t1;s5_t3;s1_t3;s2_t2",5,"Control",304.75654,32.98804,"{""target1"":[{""id"":""source3"",""sub"":""1""},{""id"":""source4"",""sub"":""2""}],""target2"":[{""id"":""source2"",""sub"":""1""}],""target3"":[{""id"":""source5"",""sub"":""1""},{""id"":""source1"",""sub"":""2""}]}",2,1,1,3,4,5,1,2,1,1,3,3,2,FALSE,FALSE,FALSE,FALSE,3,5,0,0,FALSE,FALSE,0,FALSE,FALSE,0,"Mixed Approach",1,"Other",5,32.352
"30886","A2N9HBI4W44HM","3a","3","start_s1;s1_t3;start_s2;s2_t1;start_s3;s3_t3;start_s5;s5_t3;start_s4;s4_t2",5,"source1_to_target3;source2_to_target1;source3_to_target3;source5_to_target3;source4_to_target2","source1;source2;source3;source5;source4","target3;target1;target3;target3;target2",5,"s1_t3;s2_t1;s3_t3;s5_t3;s4_t2","s1;s2;s3;s5;s4","t3;t1;t3;t3;t2","s1_t3;s2_t1;s3_t3;s5_t3;s4_t2",5,"Control",304.75654,80.85236,"{""target1"":[{""id"":""source2"",""sub"":""1""}],""target2"":[{""id"":""source4"",""sub"":""1""}],""target3"":[{""id"":""source1"",""sub"":""1""},{""id"":""source3"",""sub"":""2""},{""id"":""source5"",""sub"":""3""}]}",2,1,1,1,2,3,5,4,3,1,3,3,2,FALSE,FALSE,FALSE,FALSE,3,5,0,0,TRUE,FALSE,1,FALSE,FALSE,0,"Source Partial Focus",1,"Source Focus",5,80.475
"30899","A2N9HBI4W44HM","4a","4","start_s4;s4_t1;start_s5;s5_t3;start_s3;s3_t2;start_s2;s2_t3;start_s1;s1_t2;start_s1;move_s1_from_t2_t1",5,"source4_to_target1;source5_to_target3;source3_to_target2;source2_to_target3;source1_to_target2","source4;source5;source3;source2;source1","target1;target3;target2;target3;target2",6,"s4_t1;s5_t3;s3_t2;s2_t3;s1_t2;s1_t1","s4;s5;s3;s2;s1;s1","t1;t3;t2;t3;t2;t1","s4_t1;s5_t3;s3_t2;s2_t3;s1_t2",5,"Control",304.75654,32.15667,"{""target1"":[{""id"":""source4"",""sub"":""1""},{""id"":""source1"",""sub"":""2""}],""target2"":[{""id"":""source3"",""sub"":""1""}],""target3"":[{""id"":""source5"",""sub"":""1""},{""id"":""source2"",""sub"":""2""}]}",2,1,1,4,5,3,2,1,1,3,2,3,2,FALSE,FALSE,FALSE,FALSE,3,5,0,0,FALSE,TRUE,1,FALSE,FALSE,0,"Source Partial Focus",1,"Source Focus",5,31.666
"30914","A2N9HBI4W44HM","5a","5","start_s2;s2_t3;start_s3;s3_t2;start_s4;s4_t3;start_s5;s5_t1;start_s1;s1_t1",5,"source2_to_target3;source3_to_target2;source4_to_target3;source5_to_target1;source1_to_target1","source2;source3;source4;source5;source1","target3;target2;target3;target1;target1",5,"s2_t3;s3_t2;s4_t3;s5_t1;s1_t1","s2;s3;s4;s5;s1","t3;t2;t3;t1;t1","s2_t3;s3_t2;s4_t3;s5_t1;s1_t1",5,"Control",304.75654,43.50956,"{""target1"":[{""id"":""source5"",""sub"":""1""},{""id"":""source1"",""sub"":""2""}],""target2"":[{""id"":""source3"",""sub"":""1""}],""target3"":[{""id"":""source2"",""sub"":""1""},{""id"":""source4"",""sub"":""2""}]}",2,1,1,2,3,4,5,1,3,2,3,1,1,FALSE,FALSE,FALSE,FALSE,3,5,0,0,FALSE,FALSE,0,FALSE,FALSE,0,"Mixed Approach",1,"Other",5,43.475
"30927","A2N9HBI4W44HM","6a","6","start_s1;s1_t3;start_s2;s2_t3;start_s4;s4_t2;start_s5;s5_t1;start_s3;s3_t3;start_s3;move_s3_from_t3_t1",5,"source1_to_target3;source2_to_target3;source4_to_target2;source5_to_target1;source3_to_target3","source1;source2;source4;source5;source3","target3;target3;target2;target1;target3",6,"s1_t3;s2_t3;s4_t2;s5_t1;s3_t3;s3_t1","s1;s2;s4;s5;s3;s3","t3;t3;t2;t1;t3;t1","s1_t3;s2_t3;s4_t2;s5_t1;s3_t3",5,"Control",304.75654,19.39727,"{""target1"":[{""id"":""source5"",""sub"":""1""},{""id"":""source3"",""sub"":""2""}],""target2"":[{""id"":""source4"",""sub"":""1""}],""target3"":[{""id"":""source1"",""sub"":""1""},{""id"":""source2"",""sub"":""2""}]}",2,1,1,1,2,4,5,3,3,3,2,1,3,FALSE,FALSE,FALSE,FALSE,3,5,0,0,FALSE,FALSE,0,FALSE,FALSE,0,"Mixed Approach",1,"Other",5,18.408
"30942","A2N9HBI4W44HM","7a","7","start_s1;s1_t1;start_s2;s2_t3;start_s4;s4_t2;start_s3;s3_t1;start_s5;s5_t3",5,"source1_to_target1;source2_to_target3;source4_to_target2;source3_to_target1;source5_to_target3","source1;source2;source4;source3;source5","target1;target3;target2;target1;target3",5,"s1_t1;s2_t3;s4_t2;s3_t1;s5_t3","s1;s2;s4;s3;s5","t1;t3;t2;t1;t3","s1_t1;s2_t3;s4_t2;s3_t1;s5_t3",5,"Control",304.75654,11.21625,"{""target1"":[{""id"":""source1"",""sub"":""1""},{""id"":""source3"",""sub"":""2""}],""target2"":[{""id"":""source4"",""sub"":""1""}],""target3"":[{""id"":""source2"",""sub"":""1""},{""id"":""source5"",""sub"":""2""}]}",2,1,1,1,2,4,3,5,1,3,2,1,3,FALSE,FALSE,FALSE,FALSE,3,5,0,0,TRUE,FALSE,1,FALSE,FALSE,0,"Source Partial Focus",1,"Source Focus",5,10.151
"30955","A2N9HBI4W44HM","8a","8","start_s1;s1_t2;start_s2;s2_t3;start_s4;s4_t3;start_s3;s3_t1;start_s5;s5_t1",5,"source1_to_target2;source2_to_target3;source4_to_target3;source3_to_target1;source5_to_target1","source1;source2;source4;source3;source5","target2;target3;target3;target1;target1",5,"s1_t2;s2_t3;s4_t3;s3_t1;s5_t1","s1;s2;s4;s3;s5","t2;t3;t3;t1;t1","s1_t2;s2_t3;s4_t3;s3_t1;s5_t1",5,"Control",304.75654,17.16807,"{""target1"":[{""id"":""source3"",""sub"":""1""},{""id"":""source5"",""sub"":""2""}],""target2"":[{""id"":""source1"",""sub"":""1""}],""target3"":[{""id"":""source2"",""sub"":""1""},{""id"":""source4"",""sub"":""2""}]}",2,1,1,1,2,4,3,5,2,3,3,1,1,FALSE,FALSE,FALSE,FALSE,3,5,0,0,TRUE,FALSE,1,FALSE,FALSE,0,"Source Partial Focus",1,"Source Focus",5,15.259
"30968","A2N9HBI4W44HM","9a","9","start_s1;s1_t3;start_s2;s2_t2;start_s3;s3_t1;start_s4;s4_t1;start_s5;s5_t3",5,"source1_to_target3;source2_to_target2;source3_to_target1;source4_to_target1;source5_to_target3","source1;source2;source3;source4;source5","target3;target2;target1;target1;target3",5,"s1_t3;s2_t2;s3_t1;s4_t1;s5_t3","s1;s2;s3;s4;s5","t3;t2;t1;t1;t3","s1_t3;s2_t2;s3_t1;s4_t1;s5_t3",5,"Control",304.75654,11.52868,"{""target1"":[{""id"":""source3"",""sub"":""1""},{""id"":""source4"",""sub"":""2""}],""target2"":[{""id"":""source2"",""sub"":""1""}],""target3"":[{""id"":""source1"",""sub"":""1""},{""id"":""source5"",""sub"":""2""}]}",2,1,1,1,2,3,4,5,3,2,1,1,3,TRUE,FALSE,FALSE,FALSE,3,5,1,0,FALSE,FALSE,0,FALSE,FALSE,0,"Source Focus",1,"Source Focus",5,10.385
"30981","A2N9Q1IHLP4LG","10d","10","start_s3;s3_t1;start_s1;s1_t2;start_s3;s3_t3;start_s2;s2_t5;start_s2;move_s2_from_t5_t4;start_s1;s1_t5",5,"source3_to_target1;source1_to_target2;source3_to_target3;source2_to_target5;source1_to_target5","source3;source1;source3;source2;source1","target1;target2;target3;target5;target5",6,"s3_t1;s1_t2;s3_t3;s2_t5;s2_t4;s1_t5","s3;s1;s3;s2;s2;s1","t1;t2;t3;t5;t4;t5","s3_t1;s1_t2;s3_t3;s2_t5;s2_t4",5,"Swapped Content",48.28535,48.28535,"{""target1"":[{""id"":""source3"",""clone"":4}],""target2"":[{""id"":""source1"",""clone"":4}],""target3"":[{""id"":""source3"",""clone"":3}],""target4"":[{""id"":""source2"",""clone"":4}],""target5"":[{""id"":""source1"",""clone"":3}]}",2,1,1,3,1,3,2,2,1,2,3,5,4,FALSE,FALSE,FALSE,FALSE,5,3,0,0,FALSE,FALSE,0,TRUE,FALSE,1,"Target Partial Focus",1,"Target Focus",7,48.212
