,ID,item_id,item,sequence,n_DD_event,dd_event_sequence,source,target,n_DD_event_new,dd_event_sequence_new,source_new,target_new,clnddseq,clnddseq_len,Condition,D_D_TotalTimeSpent,TotalTimeSpentonItem,ItemResponse,ItemFinalScore,n_Condition,single_Condition,source1,source2,source3,source4,source5,target1,target2,target3,target4,target5,source_ascending,source_descending,target_ascending,target_descending,nunique_target,nunique_source,source_focus,target_focus,source_partial_ascending,source_partial_descending,source_partial_focus,target_partial_ascending,target_partial_descending,target_partial_focus,strategy,ItemFinalScoreBinary,new_strategy,pretest_final_score_total,logTime,itemtime,
1,A0533430WOF7V,10c,10,start_s1;s1_t3;start_s2;s2_t1;start_s3;s3_t3;start_s4;s4_t2;start_s5;s5_t1,5,source1_to_target3;source2_to_target1;source3_to_target3;source4_to_target2;source5_to_target1,source1;source2;source3;source4;source5,target3;target1;target3;target2;target1,5,s1_t3;s2_t1;s3_t3;s4_t2;s5_t1,s1;s2;s3;s4;s5,t3;t1;t3;t2;t1,s1_t3;s2_t1;s3_t3;s4_t2;s5_t1,5,3,937.3451,82.59164,"{""target1"":[{""id"":""source2"",""sub"":""1""},{""id"":""source5"",""sub"":""2""}],""target2"":[{""id"":""source4"",""sub"":""1""}],""target3"":[{""id"":""source1"",""sub"":""1""},{""id"":""source3"",""sub"":""2""}]}",2,1,1,1,2,3,4,5,3,1,3,2,1,TRUE,FALSE,FALSE,FALSE,3,5,1,0,FALSE,FALSE,0,FALSE,FALSE,0,Source Focus,1,Source Focus,6,4.413908465,81.866,-0.72564
14,A0533430WOF7V,1c,1,start_s5;s5_t2;start_s3;s3_t1;start_s1;s1_t3;start_s1;return_s1;start_s1;s1_t3;start_s4;s4_t3;start_s2;s2_t1,6,source5_to_target2;source3_to_target1;source1_to_target3;source1_to_target3;source4_to_target3;source2_to_target1,source5;source3;source1;source1;source4;source2,target2;target1;target3;target3;target3;target1,6,s5_t2;s3_t1;s1_t3;s1_t3;s4_t3;s2_t1,s5;s3;s1;s1;s4;s2,t2;t1;t3;t3;t3;t1,s5_t2;s3_t1;s1_t3;s4_t3;s2_t1,5,3,937.3451,22.81403,"{""target1"":[{""id"":""source3"",""sub"":""1""},{""id"":""source2"",""sub"":""2""}],""target2"":[{""id"":""source5"",""sub"":""1""}],""target3"":[{""id"":""source1"",""sub"":""1""},{""id"":""source4"",""sub"":""2""}]}",2,1,1,5,3,1,4,2,2,1,3,3,1,FALSE,FALSE,FALSE,FALSE,3,5,0,0,FALSE,FALSE,0,FALSE,FALSE,0,Mixed Approach,1,Other,6,3.127375698,23.47,0.65597
31,A0533430WOF7V,2c,2,start_s1;s1_t2;start_s1;move_s1_from_t2_t3;start_s2;s2_t1;start_s3;s3_t1;start_s4;s4_t1;start_s5;return_s5;start_s5;return_s5;start_s5;return_s5;start_s5;s5_t1,5,source1_to_target2;source2_to_target1;source3_to_target1;source4_to_target1;source5_to_target1,source1;source2;source3;source4;source5,target2;target1;target1;target1;target1,6,s1_t2;s1_t3;s2_t1;s3_t1;s4_t1;s5_t1,s1;s1;s2;s3;s4;s5,t2;t3;t1;t1;t1;t1,s1_t2;s2_t1;s3_t1;s4_t1;s5_t1,5,3,937.3451,516.9935,"{""target1"":[{""id"":""source2"",""sub"":""1""},{""id"":""source3"",""sub"":""2""},{""id"":""source4"",""sub"":""3""},{""id"":""source5"",""sub"":""4""}],""target2"":[],""target3"":[{""id"":""source1"",""sub"":""1""}]}",1,1,1,1,2,3,4,5,2,1,1,1,1,TRUE,FALSE,FALSE,TRUE,2,5,1,1,FALSE,FALSE,0,FALSE,FALSE,0,Source and Target Focus,0,Other,6,6.248030302,516.828,-0.1655
52,A0533430WOF7V,3c,3,start_s3;s3_t3;start_s5;s5_t3;start_s4;s4_t2;start_s2;s2_t1;start_s1;s1_t3,5,source3_to_target3;source5_to_target3;source4_to_target2;source2_to_target1;source1_to_target3,source3;source5;source4;source2;source1,target3;target3;target2;target1;target3,5,s3_t3;s5_t3;s4_t2;s2_t1;s1_t3,s3;s5;s4;s2;s1,t3;t3;t2;t1;t3,s3_t3;s5_t3;s4_t2;s2_t1;s1_t3,5,3,937.3451,50.04554,"{""target1"":[{""id"":""source2"",""sub"":""1""}],""target2"":[{""id"":""source4"",""sub"":""1""}],""target3"":[{""id"":""source3"",""sub"":""1""},{""id"":""source5"",""sub"":""2""},{""id"":""source1"",""sub"":""3""}]}",2,1,1,3,5,4,2,1,3,3,2,1,3,FALSE,FALSE,FALSE,FALSE,3,5,0,0,FALSE,FALSE,0,FALSE,FALSE,0,Mixed Approach,1,Other,6,3.912933391,50.861,0.81546
65,A0533430WOF7V,4c,4,start_s1;s1_t1;start_s2;s2_t3;start_s3;s3_t2;start_s5;s5_t3;start_s4;s4_t2;start_s4;move_s4_from_t2_t1,5,source1_to_target1;source2_to_target3;source3_to_target2;source5_to_target3;source4_to_target2,source1;source2;source3;source5;source4,target1;target3;target2;target3;target2,6,s1_t1;s2_t3;s3_t2;s5_t3;s4_t2;s4_t1,s1;s2;s3;s5;s4;s4,t1;t3;t2;t3;t2;t1,s1_t1;s2_t3;s3_t2;s5_t3;s4_t2,5,3,937.3451,124.2343,"{""target1"":[{""id"":""source1"",""sub"":""1""},{""id"":""source4"",""sub"":""2""}],""target2"":[{""id"":""source3"",""sub"":""1""}],""target3"":[{""id"":""source2"",""sub"":""1""},{""id"":""source5"",""sub"":""2""}]}",2,1,1,1,2,3,5,4,1,3,2,3,2,FALSE,FALSE,FALSE,FALSE,3,5,0,0,TRUE,FALSE,1,FALSE,FALSE,0,Source Partial Focus,1,Source Focus,6,4.822169299,122.163,-2.0713
80,A0533430WOF7V,5c,5,start_s1;s1_t1;start_s2;s2_t1;start_s2;move_s2_from_t1_t3;start_s3;s3_t2;start_s4;s4_t3;start_s5;s5_t1,5,source1_to_target1;source2_to_target1;source3_to_target2;source4_to_target3;source5_to_target1,source1;source2;source3;source4;source5,target1;target1;target2;target3;target1,6,s1_t1;s2_t1;s2_t3;s3_t2;s4_t3;s5_t1,s1;s2;s2;s3;s4;s5,t1;t1;t3;t2;t3;t1,s1_t1;s2_t1;s3_t2;s4_t3;s5_t1,5,3,937.3451,78.76687,"{""target1"":[{""id"":""source1"",""sub"":""1""},{""id"":""source5"",""sub"":""2""}],""target2"":[{""id"":""source3"",""sub"":""1""}],""target3"":[{""id"":""source2"",""sub"":""1""},{""id"":""source4"",""sub"":""2""}]}",2,1,1,1,2,3,4,5,1,1,2,3,1,TRUE,FALSE,FALSE,FALSE,3,5,1,0,FALSE,FALSE,0,FALSE,FALSE,0,Source Focus,1,Source Focus,6,4.366492477,80.545,1.77813
95,A0533430WOF7V,7c,7,start_s4;s4_t2;start_s5;s5_t3;start_s3;s3_t1;start_s2;s2_t3;start_s1;s1_t1,5,source4_to_target2;source5_to_target3;source3_to_target1;source2_to_target3;source1_to_target1,source4;source5;source3;source2;source1,target2;target3;target1;target3;target1,5,s4_t2;s5_t3;s3_t1;s2_t3;s1_t1,s4;s5;s3;s2;s1,t2;t3;t1;t3;t1,s4_t2;s5_t3;s3_t1;s2_t3;s1_t1,5,3,937.3451,10.3479,"{""target1"":[{""id"":""source3"",""sub"":""1""},{""id"":""source1"",""sub"":""2""}],""target2"":[{""id"":""source4"",""sub"":""1""}],""target3"":[{""id"":""source5"",""sub"":""1""},{""id"":""source2"",""sub"":""2""}]}",2,1,1,4,5,3,2,1,2,3,1,3,1,FALSE,FALSE,FALSE,FALSE,3,5,0,0,FALSE,TRUE,1,FALSE,FALSE,0,Source Partial Focus,1,Source Focus,6,2.336783601,10.886,0.5381
108,A0533430WOF7V,8c,8,start_s2;s2_t3;start_s4;s4_t3;start_s1;s1_t2;start_s3;s3_t1;start_s5;s5_t1,5,source2_to_target3;source4_to_target3;source1_to_target2;source3_to_target1;source5_to_target1,source2;source4;source1;source3;source5,target3;target3;target2;target1;target1,5,s2_t3;s4_t3;s1_t2;s3_t1;s5_t1,s2;s4;s1;s3;s5,t3;t3;t2;t1;t1,s2_t3;s4_t3;s1_t2;s3_t1;s5_t1,5,3,937.3451,23.6623,"{""target1"":[{""id"":""source3"",""sub"":""1""},{""id"":""source5"",""sub"":""2""}],""target2"":[{""id"":""source1"",""sub"":""1""}],""target3"":[{""id"":""source2"",""sub"":""1""},{""id"":""source4"",""sub"":""2""}]}",2,1,1,2,4,1,3,5,3,3,2,1,1,FALSE,FALSE,FALSE,TRUE,3,5,0,1,FALSE,FALSE,0,FALSE,FALSE,0,Target Focus,1,Target Focus,6,3.163883064,23.791,0.1287
121,A0533430WOF7V,9c,9,start_s1;s1_t3;start_s2;s2_t2;start_s3;s3_t1;start_s4;s4_t2;start_s4;move_s4_from_t2_t1;start_s5;s5_t3,5,source1_to_target3;source2_to_target2;source3_to_target1;source4_to_target2;source5_to_target3,source1;source2;source3;source4;source5,target3;target2;target1;target2;target3,6,s1_t3;s2_t2;s3_t1;s4_t2;s4_t1;s5_t3,s1;s2;s3;s4;s4;s5,t3;t2;t1;t2;t1;t3,s1_t3;s2_t2;s3_t1;s4_t2;s5_t3,5,3,937.3451,12.2202,"{""target1"":[{""id"":""source3"",""sub"":""1""},{""id"":""source4"",""sub"":""2""}],""target2"":[{""id"":""source2"",""sub"":""1""}],""target3"":[{""id"":""source1"",""sub"":""1""},{""id"":""source5"",""sub"":""2""}]}",2,1,1,1,2,3,4,5,3,2,1,2,3,TRUE,FALSE,FALSE,FALSE,3,5,1,0,FALSE,FALSE,0,FALSE,FALSE,0,Source Focus,1,Source Focus,6,2.50309032,12.115,-0.1052
136,A100Y89FZO4J0,10d,10,start_s1;s1_t1;start_s2;s2_t2;start_s1;return_s1;start_s3;s3_t1;start_s2;return_s2;start_s3;s3_t2;start_s1;s1_t3;start_s1;s1_t4;start_s2;s2_t5,7,source1_to_target1;source2_to_target2;source3_to_target1;source3_to_target2;source1_to_target3;source1_to_target4;source2_to_target5,source1;source2;source3;source3;source1;source1;source2,target1;target2;target1;target2;target3;target4;target5,7,s1_t1;s2_t2;s3_t1;s3_t2;s1_t3;s1_t4;s2_t5,s1;s2;s3;s3;s1;s1;s2,t1;t2;t1;t2;t3;t4;t5,s1_t1;s2_t2;s1_t3;s1_t4;s2_t5,5,4,105.3229,105.3229,"{""target1"":[{""id"":""source3"",""clone"":4}],""target2"":[{""id"":""source3"",""clone"":3}],""target3"":[{""id"":""source1"",""clone"":4}],""target4"":[{""id"":""source1"",""clone"":3}],""target5"":[{""id"":""source2"",""clone"":4}]}",0,1,1,1,2,1,1,2,1,2,3,4,5,FALSE,FALSE,TRUE,FALSE,5,2,0,1,FALSE,FALSE,0,FALSE,FALSE,0,Target Focus,0,Target Focus,3,4.657030869,97.729,-7.5939
